window_end_time,vehicle_id,window_duration,record_count,instantaneous_power,battery_temp_rate,motor_temp_rate,avg_speed,max_speed,min_speed,soc_rate,latest_soc,energy_consumed,battery_temperature,motor_temperature,battery_voltage,battery_current
2026-06-05 19:47:10,EV_001,1.0,22,19.44,33.6,9.7,15.06,29.28,1.22,-1440.0,86.1,0.3399,58.8,34.7,376.0,51.7
2026-06-05 19:47:15,EV_001,1.0,23,10.17,34.8,11.4,14.61,29.28,1.22,-1440.0,86.1,0.354,60.0,36.4,378.0,26.9
2026-06-05 19:47:20,EV_001,1.0,24,15.2,34.8,13.1,14.12,29.28,1.22,-1800.0,86.0,0.3751,60.0,38.1,369.9,41.1
2026-06-05 19:47:25,EV_001,1.0,25,14.1,34.8,15.1,14.16,29.28,1.22,-1800.0,86.0,0.3947,60.0,40.1,390.6,36.1
2026-06-05 19:47:30,EV_001,1.0,26,11.62,34.8,17.4,14.06,29.28,1.22,-1800.0,86.0,0.4108,60.0,42.4,387.4,30.0
2026-06-05 19:47:35,EV_001,1.0,27,17.22,34.8,20.0,14.43,29.28,1.22,-1800.0,86.0,0.4347,60.0,45.0,381.8,45.1
2026-06-05 19:47:40,EV_001,1.0,28,8.83,34.8,23.0,14.03,29.28,1.22,-2160.0,85.9,0.447,60.0,48.0,390.6,22.6
2026-06-05 19:47:45,EV_001,1.0,29,9.17,34.8,26.5,13.88,29.28,1.22,-2160.0,85.9,0.4597,60.0,51.5,391.7,23.4
2026-06-05 19:47:50,EV_001,1.0,30,11.62,34.8,30.5,13.56,29.28,1.22,-2160.0,85.9,0.4759,60.0,55.5,392.7,29.6
2026-06-05 19:47:55,EV_001,1.0,31,13.71,34.8,35.0,13.88,29.28,1.22,-2160.0,85.9,0.4949,60.0,60.0,375.7,36.5
2026-06-05 19:48:00,EV_001,1.0,32,12.76,34.8,40.3,13.99,29.28,1.22,-2520.0,85.8,0.5126,60.0,65.3,387.9,32.9
2026-06-05 19:48:05,EV_001,1.0,33,15.39,34.8,46.5,14.14,29.28,1.22,-2520.0,85.8,0.534,60.0,71.5,383.7,40.1
2026-06-05 19:48:10,EV_001,1.0,34,1.26,34.8,53.3,13.89,29.28,1.22,-2520.0,85.8,0.5358,60.0,78.3,383.2,3.3
2026-06-05 19:48:15,EV_001,1.0,35,23.39,34.8,61.5,14.29,29.28,1.22,-2520.0,85.8,0.5683,60.0,86.5,385.4,60.7
2026-06-05 19:48:20,EV_001,1.0,36,9.26,34.8,70.7,13.94,29.28,1.22,-2520.0,85.8,0.5811,60.0,95.7,387.3,23.9
2026-06-05 19:48:25,EV_001,1.0,37,15.69,34.8,81.6,14.11,29.28,1.22,-2880.0,85.7,0.6029,60.0,106.6,378.1,41.5
2026-06-05 19:48:30,EV_001,1.0,38,11.84,34.8,94.0,14.43,29.28,1.22,-2880.0,85.7,0.6194,60.0,119.0,384.4,30.8
2026-06-05 19:48:35,EV_001,1.0,39,6.73,34.8,108.2,14.66,29.28,1.22,-2880.0,85.7,0.6287,60.0,133.2,393.8,17.1
2026-06-05 19:48:40,EV_001,1.0,40,13.1,34.8,124.4,14.77,29.28,1.22,-2880.0,85.7,0.6469,60.0,149.4,385.3,34.0
2026-06-05 19:48:45,EV_001,1.0,41,6.35,34.8,125.0,14.48,29.28,1.22,-2880.0,85.7,0.6557,60.0,150.0,385.1,16.5
2026-06-05 19:48:50,EV_001,1.0,42,18.94,34.8,125.0,14.76,29.28,1.22,-3240.0,85.6,0.682,60.0,150.0,382.6,49.5
2026-06-05 19:48:55,EV_001,1.0,43,12.67,34.8,125.0,15.04,29.28,1.22,-3240.0,85.6,0.6996,60.0,150.0,401.0,31.6
2026-06-05 19:49:00,EV_001,1.0,44,6.64,34.8,125.0,14.84,29.28,1.22,-3240.0,85.6,0.7089,60.0,150.0,383.8,17.3
2026-06-05 19:49:05,EV_001,1.0,45,14.83,34.8,125.0,14.6,29.28,1.22,-3240.0,85.6,0.7294,60.0,150.0,381.2,38.9
2026-06-05 19:49:10,EV_001,1.0,46,8.48,34.8,125.0,14.44,29.28,1.22,-3600.0,85.5,0.7412,60.0,150.0,383.5,22.1
2026-06-05 19:49:15,EV_001,1.0,47,12.31,34.8,125.0,14.24,29.28,1.22,-3600.0,85.5,0.7583,60.0,150.0,388.2,31.7
2026-06-05 19:49:20,EV_001,1.0,48,10.82,34.8,125.0,14.1,29.28,1.22,-3600.0,85.5,0.7733,60.0,150.0,381.0,28.4
2026-06-05 19:49:25,EV_001,1.0,49,7.94,34.8,125.0,13.96,29.28,1.22,-3600.0,85.5,0.7844,60.0,150.0,391.0,20.3
2026-06-05 19:49:30,EV_001,1.0,50,10.43,34.8,125.0,13.72,29.28,1.22,-3600.0,85.5,0.7988,60.0,150.0,393.4,26.5
2026-06-05 19:49:35,EV_001,1.0,51,10.07,34.8,125.0,13.69,29.28,1.22,-3960.0,85.4,0.8128,60.0,150.0,384.2,26.2
2026-06-05 19:49:40,EV_001,1.0,52,13.78,34.8,125.0,13.74,29.28,1.22,-3960.0,85.4,0.832,60.0,150.0,389.3,35.4
2026-06-05 19:49:45,EV_001,1.0,53,11.46,34.8,125.0,13.9,29.28,1.22,-3960.0,85.4,0.8479,60.0,150.0,385.8,29.7
2026-06-05 19:49:50,EV_001,1.0,54,13.7,34.8,125.0,13.77,29.28,1.22,-3960.0,85.4,0.8669,60.0,150.0,390.3,35.1
2026-06-05 19:49:55,EV_001,1.0,55,8.92,34.8,125.0,13.6,29.28,1.22,-3960.0,85.4,0.8793,60.0,150.0,386.3,23.1
2026-06-05 19:50:00,EV_001,1.0,56,12.35,34.8,125.0,13.59,29.28,1.22,-4320.0,85.3,0.8965,60.0,150.0,385.9,32.0
2026-06-05 19:50:05,EV_001,1.0,57,5.44,34.8,125.0,13.35,29.28,0.14,-4320.0,85.3,0.904,60.0,150.0,380.3,14.3
2026-06-05 19:50:10,EV_001,1.0,58,8.82,34.8,125.0,13.19,29.28,0.14,-4320.0,85.3,0.9163,60.0,150.0,378.7,23.3
2026-06-05 19:50:15,EV_001,1.0,59,16.84,34.8,125.0,13.48,29.91,0.14,-4320.0,85.3,0.9397,60.0,150.0,398.2,42.3
2026-06-05 19:50:20,EV_001,1.0,60,4.03,34.8,125.0,13.28,29.91,0.14,-4320.0,85.3,0.9453,60.0,150.0,384.0,10.5
2026-06-05 19:50:25,EV_001,1.0,61,14.12,34.8,125.0,13.25,29.91,0.14,-4680.0,85.2,0.9649,60.0,150.0,378.6,37.3
2026-06-05 19:50:30,EV_001,1.0,62,8.72,34.8,125.0,13.12,29.91,0.14,-4680.0,85.2,0.977,60.0,150.0,379.1,23.0
2026-06-05 19:50:35,EV_001,1.0,63,12.42,34.8,125.0,13.34,29.91,0.14,-4680.0,85.2,0.9942,60.0,150.0,386.9,32.1
2026-06-05 19:50:40,EV_001,1.0,64,6.01,34.8,125.0,13.39,29.91,0.14,-4680.0,85.2,1.0026,60.0,150.0,382.5,15.7
2026-06-05 19:50:45,EV_001,1.0,65,13.83,34.8,125.0,13.57,29.91,0.14,-4680.0,85.2,1.0218,60.0,150.0,385.3,35.9
2026-06-05 19:50:50,EV_001,1.0,66,15.52,34.8,125.0,13.43,29.91,0.14,-5040.0,85.1,1.0433,60.0,150.0,393.0,39.5
2026-06-05 19:50:55,EV_001,1.0,67,13.95,34.8,125.0,13.5,29.91,0.14,-5040.0,85.1,1.0627,60.0,150.0,382.1,36.5
2026-06-05 19:51:00,EV_001,1.0,68,16.5,34.8,125.0,13.62,29.91,0.14,-5040.0,85.1,1.0856,60.0,150.0,377.5,43.7
2026-06-05 19:51:05,EV_001,1.0,69,11.66,34.8,125.0,13.61,29.91,0.14,-5040.0,85.1,1.1018,60.0,150.0,388.6,30.0
2026-06-05 19:51:10,EV_001,1.0,70,19.06,34.8,125.0,13.79,29.91,0.14,-5400.0,85.0,1.1283,60.0,150.0,388.2,49.1
2026-06-05 19:51:15,EV_001,1.0,71,10.27,34.8,125.0,13.68,29.91,0.14,-5400.0,85.0,1.1426,60.0,150.0,389.1,26.4
2026-06-05 19:51:20,EV_001,1.0,72,18.81,34.8,125.0,13.83,29.91,0.14,-5400.0,85.0,1.1687,60.0,150.0,385.5,48.8
2026-06-05 19:51:25,EV_001,1.0,73,14.03,34.8,125.0,13.77,29.91,0.14,-5760.0,84.9,1.1882,60.0,150.0,386.4,36.3
2026-06-05 19:51:30,EV_001,1.0,74,12.0,34.8,125.0,13.84,29.91,0.14,-5760.0,84.9,1.2048,60.0,150.0,392.2,30.6
2026-06-05 19:51:35,EV_001,1.0,75,12.0,34.8,125.0,13.81,29.91,0.14,-5760.0,84.9,1.2215,60.0,150.0,379.6,31.6
2026-06-05 19:51:40,EV_001,1.0,76,10.54,34.8,125.0,13.72,29.91,0.14,-5760.0,84.9,1.2361,60.0,150.0,387.4,27.2
2026-06-05 19:51:45,EV_001,1.0,77,11.98,34.8,125.0,13.81,29.91,0.14,-5760.0,84.9,1.2528,60.0,150.0,386.6,31.0
2026-06-05 19:51:50,EV_001,1.0,78,17.7,34.8,125.0,14.0,29.91,0.14,-6120.0,84.8,1.2774,60.0,150.0,386.5,45.8
2026-06-05 19:51:55,EV_001,1.0,79,7.76,34.8,125.0,13.91,29.91,0.14,-6120.0,84.8,1.2881,60.0,150.0,385.9,20.1
2026-06-05 19:52:00,EV_001,1.0,80,13.83,34.8,125.0,14.03,29.91,0.14,-6120.0,84.8,1.3073,60.0,150.0,389.5,35.5
2026-06-05 19:52:05,EV_001,1.0,81,15.23,34.8,125.0,14.19,29.91,0.14,-6120.0,84.8,1.3285,60.0,150.0,385.5,39.5
2026-06-05 19:52:10,EV_001,1.0,82,13.83,34.8,125.0,14.25,29.91,0.14,-6480.0,84.7,1.3477,60.0,150.0,388.5,35.6
2026-06-05 19:52:15,EV_001,1.0,83,14.62,34.8,125.0,14.41,29.91,0.14,-6480.0,84.7,1.368,60.0,150.0,385.7,37.9
2026-06-05 19:52:20,EV_001,1.0,84,13.92,34.8,125.0,14.25,29.91,0.14,-6480.0,84.7,1.3873,60.0,150.0,384.4,36.2
2026-06-05 19:52:25,EV_001,1.0,85,11.55,34.8,125.0,14.31,29.91,0.14,-6480.0,84.7,1.4034,60.0,150.0,383.6,30.1
2026-06-05 19:52:30,EV_001,1.0,86,5.09,34.8,125.0,14.23,29.91,0.14,-6840.0,84.6,1.4104,60.0,150.0,391.9,13.0
2026-06-05 19:52:35,EV_001,1.0,87,14.23,34.8,125.0,14.11,29.91,0.14,-6840.0,84.6,1.4302,60.0,150.0,390.9,36.4
2026-06-05 19:52:40,EV_001,1.0,88,13.02,34.8,125.0,14.22,29.91,0.14,-6840.0,84.6,1.4483,60.0,150.0,375.2,34.7
2026-06-05 19:52:45,EV_001,1.0,89,10.03,34.8,125.0,14.14,29.91,0.14,-6840.0,84.6,1.4622,60.0,150.0,396.6,25.3
2026-06-05 19:52:50,EV_001,1.0,90,4.56,34.8,125.0,14.01,29.91,0.14,-6840.0,84.6,1.4685,60.0,150.0,383.2,11.9
2026-06-05 19:52:55,EV_001,1.0,91,11.79,34.8,125.0,14.09,29.91,0.14,-7200.0,84.5,1.4849,60.0,150.0,386.5,30.5
2026-06-05 19:53:00,EV_001,1.0,92,11.14,34.8,125.0,14.11,29.91,0.14,-7200.0,84.5,1.5004,60.0,150.0,385.6,28.9
2026-06-05 19:53:05,EV_001,1.0,93,16.09,34.8,125.0,14.18,29.91,0.14,-7200.0,84.5,1.5228,60.0,150.0,383.2,42.0
2026-06-05 19:53:10,EV_001,1.0,94,5.88,34.8,125.0,14.18,29.91,0.14,-7200.0,84.5,1.5309,60.0,150.0,381.6,15.4
2026-06-05 19:53:15,EV_001,1.0,95,11.19,34.8,125.0,14.19,29.91,0.14,-7200.0,84.5,1.5465,60.0,150.0,387.2,28.9
2026-06-05 19:53:20,EV_001,1.0,96,17.83,34.8,125.0,14.24,29.91,0.14,-7560.0,84.4,1.5712,60.0,150.0,380.9,46.8
2026-06-05 19:53:25,EV_001,1.0,97,10.22,34.8,125.0,14.29,29.91,0.14,-7560.0,84.4,1.5854,60.0,150.0,387.0,26.4
2026-06-05 19:53:30,EV_001,1.0,98,12.44,34.8,125.0,14.3,29.91,0.14,-7560.0,84.4,1.6027,60.0,150.0,383.8,32.4
2026-06-05 19:53:35,EV_001,1.0,99,20.45,34.8,125.0,14.32,29.91,0.14,-7560.0,84.4,1.6311,60.0,150.0,383.7,53.3
2026-06-05 19:53:40,EV_001,1.0,100,21.16,34.8,125.0,14.36,29.91,0.14,-7920.0,84.3,1.6605,60.0,150.0,385.4,54.9
2026-06-05 19:53:45,EV_001,1.0,100,14.9,34.8,124.9,14.51,29.91,0.14,-7920.0,84.3,1.6769,60.0,150.0,384.0,38.8
2026-06-05 19:53:50,EV_001,1.0,100,13.81,34.7,124.9,14.7,29.91,0.14,-7920.0,84.3,1.6876,60.0,150.0,391.2,35.3
2026-06-05 19:53:55,EV_001,1.0,100,4.7,34.5,124.9,14.74,29.91,0.14,-7920.0,84.3,1.6868,60.0,150.0,385.1,12.2
2026-06-05 19:54:00,EV_001,1.0,100,16.35,34.3,124.7,14.7,29.91,0.14,-8280.0,84.2,1.6901,60.0,150.0,375.1,43.6
2026-06-05 19:54:05,EV_001,1.0,100,17.58,34.1,124.6,14.81,29.91,0.14,-8280.0,84.2,1.6984,60.0,150.0,380.5,46.2
2026-06-05 19:54:10,EV_001,1.0,100,6.4,33.7,124.5,14.71,29.91,0.14,-7920.0,84.2,1.6771,60.0,150.0,383.1,16.7
2026-06-05 19:54:15,EV_001,1.0,100,17.12,33.2,124.2,14.72,29.91,0.14,-8280.0,84.1,1.6849,60.0,150.0,381.3,44.9
2026-06-05 19:54:20,EV_001,1.0,100,14.51,32.7,124.1,14.74,29.91,0.14,-8280.0,84.1,1.6921,60.0,150.0,387.9,37.4
2026-06-05 19:54:25,EV_001,1.0,100,4.53,32.2,123.7,14.55,29.91,0.14,-8280.0,84.1,1.6854,60.0,150.0,387.3,11.7
2026-06-05 19:54:30,EV_001,1.0,100,18.22,31.3,123.3,14.55,29.91,0.14,-7920.0,84.1,1.6906,60.0,150.0,380.3,47.9
2026-06-05 19:54:35,EV_001,1.0,100,8.22,30.4,122.9,14.58,29.91,0.14,-7920.0,84.1,1.6936,60.0,150.0,384.2,21.4
2026-06-05 19:54:40,EV_001,1.0,100,9.3,29.3,122.4,14.77,29.91,0.14,-8280.0,84.0,1.6857,60.0,150.0,392.4,23.7
2026-06-05 19:54:45,EV_001,1.0,100,14.61,27.9,121.9,14.52,29.91,0.14,-8280.0,84.0,1.6879,60.0,150.0,382.5,38.2
2026-06-05 19:54:50,EV_001,1.0,100,9.95,26.4,121.5,14.45,29.91,0.14,-7920.0,84.0,1.6798,60.0,150.0,381.4,26.1
2026-06-05 19:54:55,EV_001,1.0,100,9.31,24.4,120.9,14.53,29.91,0.14,-7920.0,84.0,1.674,60.0,150.0,386.5,24.1
2026-06-05 19:55:00,EV_001,1.0,100,20.31,22.1,120.2,14.72,29.91,0.14,-8280.0,83.9,1.6899,60.0,150.0,385.3,52.7
2026-06-05 19:55:05,EV_001,1.0,100,12.74,19.3,119.5,14.86,29.91,0.14,-8280.0,83.9,1.69,60.0,150.0,384.9,33.1
2026-06-05 19:55:10,EV_001,1.0,100,11.87,15.9,118.5,14.93,29.91,0.14,-8280.0,83.9,1.6916,60.0,150.0,384.2,30.9
2026-06-05 19:55:15,EV_001,1.0,100,12.24,12.0,117.6,14.96,29.91,0.14,-7920.0,83.9,1.6928,60.0,150.0,383.6,31.9
2026-06-05 19:55:20,EV_001,1.0,100,16.37,7.1,116.5,15.05,29.91,0.14,-8280.0,83.8,1.699,60.0,150.0,371.1,44.1
2026-06-05 19:55:25,EV_001,1.0,100,14.63,1.2,115.3,15.03,29.91,0.14,-8280.0,83.8,1.6924,60.0,150.0,383.0,38.2
2026-06-05 19:55:30,EV_001,1.0,100,12.79,0.0,113.6,14.9,29.91,0.14,-8280.0,83.8,1.696,60.0,150.0,389.8,32.8
2026-06-05 19:55:35,EV_001,1.0,100,6.13,0.0,111.9,15.09,29.91,0.14,-7920.0,83.8,1.6834,60.0,150.0,380.5,16.1
2026-06-05 19:55:40,EV_001,1.0,100,14.97,0.0,109.9,15.26,29.91,0.14,-7920.0,83.8,1.6846,60.0,150.0,387.8,38.6
2026-06-05 19:55:45,EV_001,1.0,100,6.48,0.0,107.6,15.13,29.91,0.14,-8280.0,83.7,1.6775,60.0,150.0,377.0,17.2
2026-06-05 19:55:50,EV_001,1.0,100,12.65,0.0,105.0,15.09,29.91,0.14,-8280.0,83.7,1.6711,60.0,150.0,390.3,32.4
2026-06-05 19:55:55,EV_001,1.0,100,21.6,0.0,102.0,15.08,29.91,0.14,-7920.0,83.7,1.6889,60.0,150.0,386.4,55.9
2026-06-05 19:56:00,EV_001,1.0,100,14.44,0.0,98.5,15.33,29.91,0.14,-7920.0,83.7,1.6962,60.0,150.0,382.0,37.8
2026-06-05 19:56:05,EV_001,1.0,100,21.85,0.0,94.5,15.48,29.91,0.14,-8280.0,83.6,1.7104,60.0,150.0,388.1,56.3
2026-06-05 19:56:10,EV_001,1.0,100,15.01,0.0,90.0,15.68,29.91,0.14,-8280.0,83.6,1.7122,60.0,150.0,376.2,39.9
2026-06-05 19:56:15,EV_001,1.0,100,18.11,0.0,84.7,15.68,29.91,0.14,-7920.0,83.6,1.7196,60.0,150.0,382.9,47.3
2026-06-05 19:56:20,EV_001,1.0,100,15.19,0.0,78.5,15.56,29.91,0.14,-8280.0,83.5,1.7193,60.0,150.0,389.5,39.0
2026-06-05 19:56:25,EV_001,1.0,100,9.5,0.0,71.7,15.64,29.91,0.14,-8280.0,83.5,1.7308,60.0,150.0,390.8,24.3
2026-06-05 19:56:30,EV_001,1.0,100,13.95,0.0,63.5,15.77,29.91,0.14,-8280.0,83.5,1.7177,60.0,150.0,380.1,36.7
2026-06-05 19:56:35,EV_001,1.0,100,13.32,0.0,54.3,15.73,29.91,0.14,-8280.0,83.5,1.7233,60.0,150.0,388.2,34.3
2026-06-05 19:56:40,EV_001,1.0,100,10.76,0.0,43.4,15.93,29.91,0.14,-8280.0,83.4,1.7164,60.0,150.0,392.7,27.4
2026-06-05 19:56:45,EV_001,1.0,100,6.4,0.0,31.0,15.83,29.91,0.14,-8280.0,83.4,1.7089,60.0,150.0,380.8,16.8
2026-06-05 19:56:50,EV_001,1.0,100,12.28,0.0,16.8,15.71,29.91,0.14,-8280.0,83.4,1.7166,60.0,150.0,392.3,31.3
2026-06-05 19:56:55,EV_001,1.0,100,9.32,0.0,0.6,15.56,29.91,0.14,-8280.0,83.4,1.7113,60.0,150.0,385.2,24.2
2026-06-05 19:57:00,EV_001,1.0,100,-1.05,0.0,0.0,15.39,29.91,0.14,-8280.0,83.4,1.704,60.0,150.0,387.8,-2.7
2026-06-05 19:57:05,EV_001,1.0,100,19.42,0.0,0.0,15.65,29.91,0.14,-8280.0,83.3,1.7046,60.0,150.0,377.1,51.5
2026-06-05 19:57:10,EV_001,1.0,100,12.55,0.0,0.0,15.65,29.91,0.14,-8280.0,83.3,1.7045,60.0,150.0,388.4,32.3
2026-06-05 19:57:15,EV_001,1.0,100,13.96,0.0,0.0,15.52,29.91,0.14,-8280.0,83.3,1.7146,60.0,150.0,387.8,36.0
2026-06-05 19:57:20,EV_001,1.0,100,12.26,0.0,0.0,15.54,29.91,0.14,-8280.0,83.3,1.7111,60.0,150.0,380.9,32.2
2026-06-05 19:57:25,EV_001,1.0,100,18.15,0.0,0.0,15.73,29.91,0.14,-8280.0,83.2,1.7245,60.0,150.0,382.9,47.4
2026-06-05 19:57:30,EV_001,1.0,100,4.81,0.0,0.0,15.74,29.91,0.14,-8280.0,83.2,1.7141,60.0,150.0,385.1,12.5
2026-06-05 19:57:35,EV_001,1.0,100,9.26,0.0,0.0,15.79,29.91,0.14,-8280.0,83.2,1.7119,60.0,150.0,381.2,24.3
2026-06-05 19:57:40,EV_001,1.0,100,13.45,0.0,0.0,15.92,29.91,0.14,-8280.0,83.2,1.7196,60.0,150.0,377.9,35.6
2026-06-05 19:57:45,EV_001,1.0,100,5.37,0.0,0.0,15.86,29.91,0.14,-8280.0,83.2,1.7126,60.0,150.0,386.2,13.9
2026-06-05 19:57:50,EV_001,1.0,100,10.73,0.0,0.0,15.94,29.91,0.14,-7920.0,83.2,1.7135,60.0,150.0,385.9,27.8
2026-06-05 19:57:55,EV_001,1.0,100,17.11,0.0,0.0,16.01,29.91,0.14,-8280.0,83.1,1.7181,60.0,150.0,381.0,44.9
2026-06-05 19:58:00,EV_001,1.0,100,8.72,0.0,0.0,15.92,29.91,0.14,-8280.0,83.1,1.7143,60.0,150.0,380.6,22.9
2026-06-05 19:58:05,EV_001,1.0,100,17.37,0.0,0.0,15.92,29.91,0.14,-8280.0,83.1,1.7194,60.0,150.0,388.7,44.7
2026-06-05 19:58:10,EV_001,1.0,100,19.83,0.0,0.0,16.15,29.91,0.14,-8640.0,83.0,1.7346,60.0,150.0,382.1,51.9
2026-06-05 19:58:15,EV_001,1.0,100,10.31,0.0,0.0,16.11,29.91,0.14,-8280.0,83.0,1.7317,60.0,150.0,387.5,26.6
2026-06-05 19:58:20,EV_001,1.0,100,8.99,0.0,0.0,16.16,29.91,0.14,-8280.0,83.0,1.7367,60.0,150.0,377.7,23.8
2026-06-05 19:58:25,EV_001,1.0,100,12.73,0.0,0.0,16.18,29.91,0.54,-8280.0,83.0,1.7421,60.0,150.0,384.7,33.1
2026-06-05 19:58:30,EV_001,1.0,100,13.84,0.0,0.0,16.27,29.91,0.54,-8280.0,83.0,1.7379,60.0,150.0,389.9,35.5
2026-06-05 19:58:35,EV_001,1.0,100,8.97,0.0,0.0,16.11,29.63,0.54,-8640.0,82.9,1.7448,60.0,150.0,385.1,23.3
2026-06-05 19:58:40,EV_001,1.0,100,6.38,0.0,0.0,16.11,29.63,0.54,-8280.0,82.9,1.734,60.0,150.0,379.5,16.8
2026-06-05 19:58:45,EV_001,1.0,100,12.21,0.0,0.0,16.24,29.63,0.54,-8280.0,82.9,1.7389,60.0,150.0,385.3,31.7
2026-06-05 19:58:50,EV_001,1.0,100,22.96,0.0,0.0,16.44,29.63,0.54,-8280.0,82.9,1.7535,60.0,150.0,382.6,60.0
2026-06-05 19:58:55,EV_001,1.0,100,10.63,0.0,0.0,16.25,29.63,0.54,-8640.0,82.8,1.7599,60.0,150.0,383.6,27.7
2026-06-05 19:59:00,EV_001,1.0,100,7.4,0.0,0.0,16.11,29.63,0.54,-8640.0,82.8,1.751,60.0,150.0,379.6,19.5
2026-06-05 19:59:05,EV_001,1.0,100,15.4,0.0,0.0,16.07,29.63,0.54,-8280.0,82.8,1.7508,60.0,150.0,383.1,40.2
2026-06-05 19:59:10,EV_001,1.0,100,17.45,0.0,0.0,16.2,29.63,0.54,-8280.0,82.8,1.7557,60.0,150.0,378.5,46.1
2026-06-05 19:59:15,EV_001,1.0,100,13.9,0.0,0.0,16.27,29.63,0.54,-8640.0,82.7,1.7521,60.0,150.0,373.7,37.2
2026-06-05 19:59:20,EV_001,1.0,100,7.85,0.0,0.0,16.09,29.63,0.54,-8640.0,82.7,1.7468,60.0,150.0,386.6,20.3
2026-06-05 19:59:25,EV_001,1.0,100,14.83,0.0,0.0,16.26,29.64,0.54,-8280.0,82.7,1.7409,60.0,150.0,392.2,37.8
2026-06-05 19:59:30,EV_001,1.0,100,7.66,0.0,0.0,16.22,29.64,0.54,-8280.0,82.7,1.7373,60.0,150.0,380.9,20.1
2026-06-05 19:59:35,EV_001,1.0,100,5.01,0.0,0.0,16.27,29.64,0.54,-8280.0,82.7,1.7181,60.0,150.0,376.7,13.3
2026-06-05 19:59:40,EV_001,1.0,100,3.33,0.0,0.0,16.04,29.64,0.54,-7920.0,82.7,1.7032,60.0,150.0,378.4,8.8
2026-06-05 19:59:45,EV_001,1.0,100,16.08,0.0,0.0,16.11,29.64,0.54,-8280.0,82.6,1.7089,60.0,150.0,376.5,42.7
2026-06-05 19:59:50,EV_001,1.0,100,7.49,0.0,0.0,15.96,29.64,0.54,-8280.0,82.6,1.7026,60.0,150.0,384.0,19.5
2026-06-05 19:59:55,EV_001,1.0,100,12.17,0.0,0.0,16.08,29.64,0.54,-8280.0,82.6,1.7049,60.0,150.0,383.8,31.7
